prime,A,x0,trials,cycles,mul_count,inv_count,branch_count,opcount_m3,batch_time_ms
1001629,943451,765449,52216,166,66,0,0,66.000,456.42
1001629,106265,866787,31750,333,66,0,0,66.000,456.42
1001629,357723,277123,32208,333,66,0,0,66.000,456.42
1001629,907898,997084,66056,250,66,0,0,66.000,456.42
1001629,522221,195688,109173,333,66,0,0,66.000,456.42
1001629,477411,350277,6752,333,66,0,0,66.000,456.42
1001629,739036,578096,33770,333,66,0,0,66.000,456.42
1001629,194285,762029,1275,167,66,0,0,66.000,456.42
1001629,34439,496697,2357,167,66,0,0,66.000,456.42
1001629,40546,432897,1717,208,66,0,0,66.000,456.42
1001629,270525,620163,10880,166,66,0,0,66.000,456.42
1001629,963658,554984,4520,166,66,0,0,66.000,456.42
1001629,853415,44993,22077,167,66,0,0,66.000,456.42
1001629,175195,773573,1473,167,66,0,0,66.000,456.42
1001629,305660,297108,14959,250,66,0,0,66.000,456.42
1001629,966756,530042,4968,166,66,0,0,66.000,456.42
1001629,357331,386830,13039,208,66,0,0,66.000,456.42
1001629,930951,35747,2990,208,66,0,0,66.000,456.42
1001629,693980,766952,17597,208,66,0,0,66.000,456.42
1001629,19868,256399,21090,209,66,0,0,66.000,456.42
1003109,426376,995622,48856,250,66,0,0,66.000,261.96
1003109,905331,971974,5945,250,66,0,0,66.000,261.96
1003109,378813,817708,32133,209,66,0,0,66.000,261.96
1003109,678375,310182,804,208,66,0,0,66.000,261.96
1003109,465203,924381,5759,250,66,0,0,66.000,261.96
1003109,48708,220646,232,250,66,0,0,66.000,261.96
1003109,92062,93695,7920,250,66,0,0,66.000,261.96
1003109,482149,475091,2684,167,66,0,0,66.000,261.96
1003109,792610,144904,8984,209,66,0,0,66.000,261.96
1003109,921800,929268,5862,250,66,0,0,66.000,261.96
1003109,367328,491283,2894,250,66,0,0,66.000,261.96
1003109,8999,679631,5066,250,66,0,0,66.000,261.96
1003109,755896,252401,387,208,66,0,0,66.000,261.96
1003109,983828,313993,30958,250,66,0,0,66.000,261.96
1003109,74883,962220,8534,250,66,0,0,66.000,261.96
1003109,324528,912278,3416,250,66,0,0,66.000,261.96
1003109,387820,865244,2452,209,66,0,0,66.000,261.96
1003109,425015,208285,12379,375,66,0,0,66.000,261.96
1003109,713988,199942,41014,375,66,0,0,66.000,261.96
1003109,286367,195020,646,208,66,0,0,66.000,261.96
1006769,581449,76264,1337,166,66,0,0,66.000,49.09
1006769,671110,397576,1344,209,66,0,0,66.000,49.09
1006769,315469,936830,1849,166,66,0,0,66.000,49.09
1006769,181654,702871,85,292,66,0,0,66.000,49.09
1006769,878940,751104,3387,291,66,0,0,66.000,49.09
1006769,77169,271385,3653,208,66,0,0,66.000,49.09
1006769,704661,301109,1202,167,66,0,0,66.000,49.09
1006769,956030,323805,586,167,66,0,0,66.000,49.09
1006769,373675,932836,1193,167,66,0,0,66.000,49.09
1006769,2754,507610,8350,209,66,0,0,66.000,49.09
1006769,549057,946220,680,208,66,0,0,66.000,49.09
1006769,401210,844698,987,208,66,0,0,66.000,49.09
1006769,870384,66765,7764,209,66,0,0,66.000,49.09
1006769,83297,379726,2954,208,66,0,0,66.000,49.09
1006769,785078,662844,2478,166,66,0,0,66.000,49.09
1006769,140641,73059,2734,166,66,0,0,66.000,49.09
1006769,50739,396553,832,208,66,0,0,66.000,49.09
1006769,375517,10190,17489,167,66,0,0,66.000,49.09
1006769,264796,921237,249,166,66,0,0,66.000,49.09
1006769,404425,436819,2480,167,66,0,0,66.000,49.09
1006883,876725,32320,211,209,66,0,0,66.000,75.73
1006883,504347,729478,3114,208,66,0,0,66.000,75.73
1006883,627247,424988,565,167,66,0,0,66.000,75.73
1006883,340413,276849,13770,375,66,0,0,66.000,75.73
1006883,644184,6726,2807,166,66,0,0,66.000,75.73
1006883,666001,537474,1212,208,66,0,0,66.000,75.73
1006883,748178,766193,5900,209,66,0,0,66.000,75.73
1006883,436164,432270,2697,209,66,0,0,66.000,75.73
1006883,366002,403979,680,208,66,0,0,66.000,75.73
1006883,314234,548670,1191,167,66,0,0,66.000,75.73
1006883,538608,436116,8564,208,66,0,0,66.000,75.73
1006883,113819,701472,7843,167,66,0,0,66.000,75.73
1006883,409429,514115,10175,208,66,0,0,66.000,75.73
1006883,207389,521224,364,208,66,0,0,66.000,75.73
1006883,561603,9013,10683,209,66,0,0,66.000,75.73
1006883,423782,479165,1253,167,66,0,0,66.000,75.73
1006883,897742,426162,1651,208,66,0,0,66.000,75.73
1006883,176105,805056,372,208,66,0,0,66.000,75.73
1006883,936882,856743,624,209,66,0,0,66.000,75.73
1006883,861624,534096,3627,166,66,0,0,66.000,75.73
1009159,927635,509793,18898,209,66,0,0,66.000,206.16
1009159,872718,566454,516,208,66,0,0,66.000,206.16
1009159,323938,8751,16338,208,66,0,0,66.000,206.16
1009159,429524,37216,8828,208,66,0,0,66.000,206.16
1009159,130739,895489,815,417,66,0,0,66.000,206.16
1009159,199124,467131,7335,209,66,0,0,66.000,206.16
1009159,906557,558224,1777,250,66,0,0,66.000,206.16
1009159,104152,312830,229,208,66,0,0,66.000,206.16
1009159,415646,118946,7552,208,66,0,0,66.000,206.16
1009159,503219,110306,12903,225,66,0,0,66.000,206.16
1009159,34299,128878,1476,208,66,0,0,66.000,206.16
1009159,915690,401879,12931,208,66,0,0,66.000,206.16
1009159,615379,200518,13805,166,66,0,0,66.000,206.16
1009159,987658,943367,1347,209,66,0,0,66.000,206.16
1009159,32216,70242,23490,166,66,0,0,66.000,206.16
1009159,880039,859864,5388,375,66,0,0,66.000,206.16
1009159,87477,246737,2306,208,66,0,0,66.000,206.16
1009159,1006148,481210,2225,250,66,0,0,66.000,206.16
1009159,254743,717119,18427,209,66,0,0,66.000,206.16
1009159,391228,700686,15767,209,66,0,0,66.000,206.16
1009193,922493,135715,15120,250,66,0,0,66.000,150.60
1009193,990687,978916,13888,250,66,0,0,66.000,150.60
1009193,252234,601279,14088,291,66,0,0,66.000,150.60
1009193,966967,654084,6771,250,66,0,0,66.000,150.60
1009193,579124,577050,10889,250,66,0,0,66.000,150.60
1009193,225244,819636,191,250,66,0,0,66.000,150.60
1009193,654590,854967,10598,250,66,0,0,66.000,150.60
1009193,804084,867552,1143,250,66,0,0,66.000,150.60
1009193,425024,349179,6193,208,66,0,0,66.000,150.60
1009193,716534,895652,4298,291,66,0,0,66.000,150.60
1009193,270867,680358,2818,250,66,0,0,66.000,150.60
1009193,908495,838178,311,250,66,0,0,66.000,150.60
1009193,508798,185630,2725,417,66,0,0,66.000,150.60
1009193,59650,282668,1087,208,66,0,0,66.000,150.60
1009193,913756,134801,2256,208,66,0,0,66.000,150.60
1009193,709781,244619,9857,250,66,0,0,66.000,150.60
1009193,504055,506207,2691,250,66,0,0,66.000,150.60
1009193,209520,935813,3433,250,66,0,0,66.000,150.60
1009193,298641,806486,14178,250,66,0,0,66.000,150.60
1009193,17047,72610,4080,208,66,0,0,66.000,150.60
1012481,834904,898265,6562,459,66,0,0,66.000,226.08
1012481,643528,920608,15908,209,66,0,0,66.000,226.08
1012481,755550,502120,3454,208,66,0,0,66.000,226.08
1012481,944104,107279,2447,292,66,0,0,66.000,226.08
1012481,226146,853890,5988,250,66,0,0,66.000,226.08
1012481,858338,550726,6167,208,66,0,0,66.000,226.08
1012481,361529,300210,9073,208,66,0,0,66.000,226.08
1012481,703812,218727,7718,250,66,0,0,66.000,226.08
1012481,9964,396520,3217,250,66,0,0,66.000,226.08
1012481,905426,922697,17589,417,66,0,0,66.000,226.08
1012481,931789,29538,11450,209,66,0,0,66.000,226.08
1012481,827885,71430,16158,208,66,0,0,66.000,226.08
1012481,121769,526158,8080,208,66,0,0,66.000,226.08
1012481,681081,96634,9129,208,66,0,0,66.000,226.08
1012481,1002397,596111,15619,250,66,0,0,66.000,226.08
1012481,146716,727618,10421,250,66,0,0,66.000,226.08
1012481,939171,275862,14528,250,66,0,0,66.000,226.08
1012481,792827,952404,4597,250,66,0,0,66.000,226.08
1012481,302737,131705,18555,250,66,0,0,66.000,226.08
1012481,943627,592460,10711,291,66,0,0,66.000,226.08
1016497,645707,40579,3895,166,66,0,0,66.000,98.12
1016497,71962,806681,20785,167,66,0,0,66.000,98.12
1016497,23676,112071,6453,208,66,0,0,66.000,98.12
1016497,329840,877570,5732,209,66,0,0,66.000,98.12
1016497,162577,892686,16889,209,66,0,0,66.000,98.12
1016497,875871,583233,984,208,66,0,0,66.000,98.12
1016497,212890,102476,764,167,66,0,0,66.000,98.12
1016497,824374,187085,700,375,66,0,0,66.000,98.12
1016497,629713,630339,553,208,66,0,0,66.000,98.12
1016497,13371,886536,4990,167,66,0,0,66.000,98.12
1016497,65557,956041,125,208,66,0,0,66.000,98.12
1016497,752287,969222,6339,334,66,0,0,66.000,98.12
1016497,365828,955710,1346,167,66,0,0,66.000,98.12
1016497,886046,958999,1456,208,66,0,0,66.000,98.12
1016497,110082,940484,8461,375,66,0,0,66.000,98.12
1016497,368184,253062,4438,250,66,0,0,66.000,98.12
1016497,757170,167689,6519,250,66,0,0,66.000,98.12
1016497,83039,255061,2615,167,66,0,0,66.000,98.12
1016497,511983,344172,76,209,66,0,0,66.000,98.12
1016497,221805,112567,9670,166,66,0,0,66.000,98.12
1019357,678851,944732,1956,209,66,0,0,66.000,170.58
1019357,891579,425292,564,166,66,0,0,66.000,170.58
1019357,319395,80376,2319,209,66,0,0,66.000,170.58
1019357,368658,1000585,7797,208,66,0,0,66.000,170.58
1019357,878000,321623,5647,166,66,0,0,66.000,170.58
1019357,140006,442436,7348,208,66,0,0,66.000,170.58
1019357,479819,5145,8127,167,66,0,0,66.000,170.58
1019357,601136,52303,2094,209,66,0,0,66.000,170.58
1019357,836288,570201,11443,167,66,0,0,66.000,170.58
1019357,303347,640597,4976,208,66,0,0,66.000,170.58
