prime,A,x0,trials,cycles,mul_count,inv_count,branch_count,opcount_m3,batch_time_ms
1001629,772745,966871,213,4917,765,0,4,766.000,1.12
1001629,772745,137870,17,5292,791,0,5,792.250,1.12
1001629,268051,50901,118,5834,739,0,3,739.750,1.12
1001629,268051,94461,24,5958,765,0,4,766.000,1.12
1001629,375300,887121,378,4625,747,0,4,748.000,1.12
1001629,375300,156044,17,4209,689,0,2,689.500,1.12
1001629,702848,137809,861,10893,733,0,3,733.750,1.12
1001629,702848,482288,46,10916,747,0,4,748.000,1.12
1001629,402685,743704,298,4500,757,0,3,757.750,1.12
1001629,402685,704739,19,4625,789,0,4,790.000,1.12
1001629,482228,761504,189,4792,771,0,4,772.000,1.12
1001629,482228,260200,21,4667,765,0,4,766.000,1.12
1001629,876265,582570,748,6167,815,0,5,816.250,1.12
1001629,876265,811145,26,5833,739,0,3,739.750,1.12
1001629,982940,635337,122,6167,777,0,4,778.000,1.12
1001629,982940,484083,30,6375,809,0,5,810.250,1.12
1001629,212077,461756,310,5917,771,0,4,772.000,1.12
1001629,212077,776015,22,5584,777,0,4,778.000,1.12
1001629,217337,160656,280,11000,789,0,4,790.000,1.12
1001629,217337,37410,42,10518,733,0,3,733.750,1.12
1003109,101596,824652,196,5500,737,0,2,737.500,0.84
1003109,101596,727985,13,5042,690,0,1,690.250,0.84
1003109,938884,205499,67,11791,825,0,4,826.000,0.84
1003109,938884,982279,37,11042,784,0,3,784.750,0.84
1003109,53015,214770,125,4667,667,0,0,667.000,0.84
1003109,53015,212858,24,5559,772,0,3,772.750,0.84
1003109,762546,834751,202,6250,866,0,5,867.250,0.84
1003109,762546,788507,26,6351,884,0,5,885.250,0.84
1003109,719864,406119,352,5267,913,0,6,914.500,0.84
1003109,719864,395110,22,5250,895,0,6,896.500,0.84
1003109,176316,540000,255,5125,895,0,6,896.500,0.84
1003109,176316,172026,20,5042,878,0,5,879.250,0.84
1003109,152710,284178,932,5476,749,0,2,749.500,0.84
1003109,152710,348931,27,6875,813,0,4,814.000,0.84
1003109,309053,449306,46,5750,778,0,3,778.750,0.84
1003109,309053,1002639,25,5959,772,0,3,772.750,0.84
1003109,863382,63253,213,6917,890,0,5,891.250,0.84
1003109,863382,50822,24,6209,819,0,4,820.000,0.84
1003109,120413,359856,414,4875,831,0,4,832.000,0.84
1003109,120413,101518,19,4435,743,0,2,743.500,0.84
1006769,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
1006883,275591,628897,21,4541,669,0,1,669.250,0.50
1006883,275591,427755,14,5083,741,0,3,741.750,0.50
1006883,908878,196680,264,10416,777,0,4,778.000,0.50
1006883,908878,643279,35,10000,741,0,3,741.750,0.50
1006883,619759,551309,87,5708,813,0,5,814.250,0.50
1006883,619759,807777,27,5583,813,0,5,814.250,0.50
1006883,945311,666915,364,5209,741,0,3,741.750,0.50
1006883,945311,988902,27,6267,885,0,7,886.750,0.50
1006883,776267,190594,131,5458,777,0,4,778.000,0.50
1006883,776267,714461,21,6291,849,0,6,850.500,0.50
1006883,932112,25326,226,9893,741,0,3,741.750,0.50
1006883,932112,497124,37,9000,669,0,1,669.250,0.50
1006883,179291,266470,130,5625,777,0,4,778.000,0.50
1006883,179291,550793,22,5625,777,0,4,778.000,0.50
1006883,789305,493273,99,5542,777,0,4,778.000,0.50
1006883,789305,947022,17,4792,669,0,1,669.250,0.50
1006883,354400,750816,58,5583,777,0,4,778.000,0.50
1006883,354400,742838,27,5917,813,0,5,814.250,0.50
1006883,64081,150366,150,4375,669,0,1,669.250,0.50
1006883,64081,905701,17,4750,705,0,2,705.500,0.50
1009159,67195,619168,232,5267,741,0,4,742.000,0.98
1009159,67195,797663,17,5042,707,0,3,707.750,0.98
1009159,824245,106174,1374,9875,707,0,3,707.750,0.98
1009159,821959,1008685,9,4975,707,0,3,707.750,0.98
1009159,821959,518163,20,4959,707,0,3,707.750,0.98
1009159,824245,686098,6,10392,741,0,4,742.000,0.98
1009159,427771,228777,367,5602,741,0,4,742.000,0.98
1009159,427771,522789,25,5959,707,0,3,707.750,0.98
1009159,908199,722874,12,4459,639,0,1,639.250,0.98
1009159,908199,364833,20,5250,707,0,3,707.750,0.98
1009159,58153,584259,427,5225,741,0,4,742.000,0.98
1009159,58153,982942,19,5208,707,0,3,707.750,0.98
1009159,813649,629992,161,5000,707,0,3,707.750,0.98
1009159,813649,601192,16,5000,707,0,3,707.750,0.98
1009159,33056,178386,788,5018,639,0,1,639.250,0.98
1009159,33056,523061,24,5750,741,0,4,742.000,0.98
1009159,635327,331688,25,5750,809,0,6,810.500,0.98
1009159,635327,905972,21,5500,775,0,5,776.250,0.98
1009159,707981,648521,32,5851,775,0,5,776.250,0.98
1009159,707981,730423,26,5875,809,0,6,810.500,0.98
1009193,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
1012481,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
1016497,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
1019357,903273,231384,92,4958,708,0,1,708.250,0.56
1019357,903273,333105,26,5750,778,0,3,778.750,0.56
1019357,162269,349722,79,6208,831,0,4,832.000,0.56
1019357,162269,339922,17,5875,790,0,3,790.750,0.56
1019357,749221,956798,373,12058,889,0,6,890.500,0.56
1019357,749221,185066,36,9917,737,0,2,737.500,0.56
1019357,237655,98347,102,11458,813,0,4,814.000,0.56
1019357,628003,885414,6,5125,725,0,2,725.500,0.56
1019357,628003,776392,21,6291,743,0,2,743.500,0.56
1019357,237655,30287,16,11042,755,0,2,755.500,0.56
1019357,343279,956555,71,5792,825,0,4,826.000,0.56
1019357,343279,916730,28,6042,831,0,4,832.000,0.56
1019357,647816,587889,187,10125,725,0,2,725.500,0.56
1019357,132240,281844,56,5851,801,0,4,802.000,0.56
1019357,132240,38912,16,5625,766,0,3,766.750,0.56
1019357,647816,979088,239,97968,737,0,2,737.500,0.56
1019357,974747,1007505,180,6083,825,0,4,826.000,0.56
1019357,974747,486022,20,5458,708,0,1,708.250,0.56
1019357,125135,600019,12,4667,661,0,0,661.000,0.56
1019357,125135,64420,52,14810,714,0,1,714.250,0.56
1020683,138000,438775,356,4476,654,0,1,654.250,0.69
1020683,138000,585202,15,4625,689,0,2,689.500,0.69
1020683,838655,917547,300,5560,794,0,5,795.250,0.69
1020683,838655,236325,17,5833,794,0,5,795.250,0.69
1020683,755321,432568,131,5042,724,0,3,724.750,0.69
1020683,755321,936415,14,4291,619,0,0,619.000,0.69
1020683,875339,1007573,178,5708,829,0,6,830.500,0.69
1020683,875339,610330,18,4875,689,0,2,689.500,0.69
1020683,926503,774014,213,5292,724,0,3,724.750,0.69
1020683,926503,10500,26,5208,759,0,4,760.000,0.69
1020683,522287,107046,252,4917,724,0,3,724.750,0.69
1020683,522287,404348,21,4917,689,0,2,689.500,0.69
1020683,257773,306610,143,5291,759,0,4,760.000,0.69
1020683,257773,636116,20,5851,829,0,6,830.500,0.69
1020683,463747,4675,49,4667,689,0,2,689.500,0.69
1020683,463747,586230,21,5250,759,0,4,760.000,0.69
1020683,433678,777711,241,5458,759,0,4,760.000,0.69
1020683,433678,514646,20,5851,794,0,5,795.250,0.69
1020683,306212,137566,186,5750,759,0,4,760.000,0.69
1020683,306212,928586,18,5458,724,0,3,724.750,0.69
1021429,668149,273072,498,6292,922,0,5,923.250,0.81
1021429,668149,193803,21,5750,867,0,4,868.000,0.81
1021429,554096,785417,123,13500,904,0,5,905.250,0.81
1021429,554096,16797,38,10708,696,0,1,696.250,0.81
1021429,522768,943034,241,6209,904,0,5,905.250,0.81
1021429,522768,452516,17,5875,824,0,3,824.750,0.81
1021429,158100,961054,183,6184,910,0,5,911.250,0.81
1021429,879813,708017,13,5333,757,0,2,757.500,0.81
1021429,158100,982639,4,5375,775,0,2,775.500,0.81
1021429,879813,992846,15,6250,861,0,4,862.000,0.81
1021429,93157,312364,412,5166,763,0,2,763.500,0.81
1021429,93157,613452,20,5458,793,0,2,793.500,0.81
1021429,661634,892154,169,6000,861,0,4,862.000,0.81
1021429,661634,906860,21,5642,787,0,2,787.500,0.81
