prime,A,x0,trials,cycles,mul_count,inv_count,branch_count,opcount_m3,batch_time_ms
1001629,887115,615073,135,31685,867,0,0,867.000,4.38
1001629,887115,372491,22,30434,885,0,0,885.000,4.38
1001629,345992,50336,676,21875,897,0,0,897.000,4.38
1001629,345992,757032,12,21518,897,0,0,897.000,4.38
1001629,597429,44234,80,33059,873,0,0,873.000,4.38
1001629,597429,338416,25,31101,897,0,0,897.000,4.38
1001629,893595,122299,106,32475,909,0,0,909.000,4.38
1001629,893595,329064,25,30684,891,0,0,891.000,4.38
1001629,48080,425142,322,31850,891,0,0,891.000,4.38
1001629,48080,62606,11,29768,879,0,0,879.000,4.38
1001629,875762,209512,136,32017,873,0,0,873.000,4.38
1001629,875762,261400,38,30309,885,0,0,885.000,4.38
1001629,534379,480942,265,31560,885,0,0,885.000,4.38
1001629,534379,345588,41,28892,873,0,0,873.000,4.38
1001629,297957,652204,4,30476,897,0,0,897.000,4.38
1001629,297957,819258,37,30393,891,0,0,891.000,4.38
1001629,297957,454490,176,29185,885,0,0,885.000,4.38
1001629,297957,743526,28,29725,903,0,0,903.000,4.38
1001629,95785,292828,1152,32060,885,0,0,885.000,4.38
1001629,95785,712508,29,29767,867,0,0,867.000,4.38
1003109,990126,996596,763,26393,942,0,0,942.000,2.34
1003109,990126,162868,27,25100,942,0,0,942.000,2.34
1003109,792982,3812,99,25291,936,0,0,936.000,2.34
1003109,792982,292729,31,25893,960,0,0,960.000,2.34
1003109,221591,478903,374,26101,972,0,0,972.000,2.34
1003109,221591,816404,20,25475,942,0,0,942.000,2.34
1003109,480539,571922,22,22476,942,0,0,942.000,2.34
1003109,480539,950837,22,21917,930,0,0,930.000,2.34
1003109,406558,765233,233,26350,954,0,0,954.000,2.34
1003109,406558,685644,30,25851,942,0,0,942.000,2.34
1003109,69457,298415,303,25351,936,0,0,936.000,2.34
1003109,69457,896762,30,25559,954,0,0,954.000,2.34
1003109,979672,103523,336,12334,966,0,0,966.000,2.34
1003109,890784,880923,15,22875,948,0,0,948.000,2.34
1003109,979672,973624,17,12059,948,0,0,948.000,2.34
